Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1228368;0,2871956;0;0
2;0,172915;0,3832434;0;0
3;0,228425;0,3843499;0;0
4;0,2258927;0,590226;0;0
5;0,2457099;0,591271;0;0
6;0,2674757;0,6923924;0;0
7;0,2971596;0,5913107;0;0
8;0,3188707;1,004256;0;0
9;0,3398624;1,004374;0;0
10;0,3857093;1,004456;0;0
11;0,4672489;1,004959;0;0
12;0,7614941;18,54623;1;25,54626
13;4,951971;18,54548;19;25,55492
14;15,4475;18,54549;66;25,55487
15;18,31431;18,79097;79;23,11654
16;17,87512;18,79103;77;23,11602
