Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1497578;0,5928903;0;0
2;0,238187;0,594097;0;0
3;0,2967376;0,5946248;0;0
4;0,3932832;0,5941123;0;0
5;0,3964743;0,594907;0;0
6;0,4755117;0,5950767;0;0
7;0,5299317;0,5954548;0;0
8;0,5297486;0,5963499;0;0
9;0,5492923;0,5958992;0;0
10;0,5347857;0,5952489;0;0
11;0,5565004;0,5963109;0;0
12;0,5588137;0,5958292;0;0
13;0,5536191;0,6821716;0;0
14;0,5673978;0,5955896;0;0
15;0,5773296;0,6817929;0;0
16;0,5688679;0,5966004;0;0
17;0,5479628;0,6836795;0;0
18;0,5484598;0,5960059;0;0
19;0,5722964;0,6834261;0;0
20;0,5650555;0,683466;0;0
21;0,5451404;0,6834341;0;0
22;0,5584436;0,6835707;0;0
23;0,5728574;0,6836719;0;0
24;0,5783482;0,7736531;0;0
25;0,5793226;0,7767681;0;0
26;0,5814687;0,7741322;0;0
27;0,5842748;0,7745935;0;0
28;0,6203884;1,00686;0;0
29;0,6429155;1,006703;0;0
30;0,6758019;1,006285;0;0
31;0,7030337;1,006968;0;0
32;0,6899714;1,006973;0;0
33;0,7300225;1,007513;0;0
34;0,7660878;1,008404;0;0
35;0,7901832;1,008155;0;0
36;0,8071195;1,007456;0;0
37;1,565159;19,12058;3;20,72623
38;0,8843282;1,008358;0;0
39;0,9373479;1,00918;0;0
40;0,9391544;1,008618;0;0
41;0,9032626;1,008209;0;0
42;0,9545138;1,008087;0;0
43;0,9250916;1,008159;0;0
44;2,576493;19,09884;7;20,86112
45;0,9346324;1,008145;0;0
46;0,9851868;1,008449;0;0
47;0,9642982;1,008445;0;0
48;0,9680158;1,008217;0;0
49;1,423264;19,11267;2;20,775
50;4,996292;19,12193;18;20,71795
51;11,13916;19,11373;45;20,76844
