Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1907795;11,08333;1;21,9395
2;1,406822;21,10233;20;21,8979
3;0,6320942;20,9926;2;22,0984
4;1,398777;21,0557;12;21,95858
5;1,406745;21,10118;65;21,85888
6;1,405467;21,0858;49;21,85349
7;1,406492;21,16616;46;21,67397
8;1,398828;21,04081;63;21,76652
9;1,401188;21,06069;61;21,72316
10;1,404318;21,06477;59;21,71427
11;1,403276;21,04914;49;21,74832
12;1,406453;21,0968;71;21,64483
13;1,408422;21,30774;61;21,16975
14;1,397186;21,04614;70;21,24879
15;1,406062;21,09094;64;21,15367
16;1,405768;21,12272;58;21,07067
17;1,403888;21,06666;68;21,10585
18;1,413081;21,4816;69;20,26364
19;1,393423;21,04324;60;20,3452
20;1,407671;21,11507;48;20,19954
21;1,388445;21,14008;57;20,08557
22;1,378227;20,97907;64;20,29719
23;1,373189;20,64265;65;21,01151
24;1,372987;20,59481;64;21,1172
25;1,377841;20,90582;63;20,44857
26;1,378724;20,92355;63;20,41171
27;1,372819;20,59829;63;21,10946
28;1,37478;20,62169;65;21,05767
29;1,374107;20,62234;73;21,05626
30;1,383457;20,97848;73;20,2984
;;;;
Population;75;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;5;7%;;
