Generation; Avg Fitness; Best Fitness; Cars Succesfull; Best Lap Time
1;0,04582747;1,500832;0;0
2;0,07169337;1,582296;0;0
3;0,1531319;11,08333;1;0
4;5,553652;111,073;18;0
5;5,538664;110,8667;86;0
6;5,543032;110,8606;82;0
7;5,51716;110,8501;16;0
8;5,541522;110,8304;83;0
9;5,531479;110,6538;78;0
10;5,524159;110,4832;85;0
11;5,528839;110,6872;87;0
12;5,521408;110,491;60;0
13;5,526682;110,9026;95;0
14;5,541509;111,0546;64;0
15;5,539716;110,7943;84;0
16;5,524135;110,5132;91;0
17;5,527882;110,5576;93;0
18;5,523557;110,4711;96;0
19;5,519529;110,3906;80;0
20;5,51985;110,397;94;0
21;5,54415;110,883;85;0
22;5,528235;110,6469;95;0
23;5,527803;110,5561;91;0
24;5,534344;110,6869;98;0
25;5,534781;110,7817;96;0
26;5,523856;110,4771;90;0
27;5,524872;110,4975;95;0
28;5,519749;110,6081;93;0
29;5,520365;110,5102;91;0
30;5,524002;110,48;90;0
