Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,225469;0,9320552;0;0
2;0,3479846;1,49862;0;0
3;0,7156643;14,11458;2;32,98974
4;5,339313;14,11599;27;32,97433
5;12,24761;14,51182;65;29,16743
6;12,65541;14,28895;67;31,19528
7;11,91479;14,28526;63;31,23116
8;11,71207;14,36678;62;30,45584
9;13,01902;14,44092;69;29,78332
10;11,9315;14,48981;63;29,35586
11;11,76576;14,51848;62;29,11087
12;13,07621;14,52456;69;29,05939
13;12,76088;14,52234;67;29,07814
14;12,00387;14,52432;63;29,0614
15;11,85184;14,52668;62;29,04154
16;11,9008;14,52916;62;29,02058
17;13,36551;14,54039;70;28,92631
18;13,92856;14,52536;73;29,05263
19;12,2849;14,53254;64;28,99221
20;11,71075;14,53514;61;28,9703
21;11,92491;14,55332;62;28,81856
22;13,07493;14,53593;68;28,9637
23;12,88093;14,54529;67;28,88542
24;12,8819;14,54915;67;28,85319
25;12,51432;14,55267;65;28,82396
26;12,56215;14,54478;65;28,88966
27;12,18901;14,55544;63;28,80093
28;13,0889;14,55094;68;28,83832
29;12,1565;14,55102;63;28,83769
30;13,29265;14,5542;69;28,81121
