Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1216249;0,2893766;0;0
2;0,1983267;0,5928891;0;0
3;0,2232231;0,5928974;0;0
4;0,2517521;0,5930579;0;0
5;0,2774957;0,5954425;0;0
6;0,3516166;0,5952238;0;0
7;0,4048945;0,6768085;0;0
8;0,4805774;0,6859369;0;0
9;0,5227118;0,5956413;0;0
10;0,5443206;0,6860303;0;0
11;0,5346202;0,68573;0;0
12;0,5310659;0,6858878;0;0
13;0,505196;0,6855836;0;0
14;0,5525151;0,6858568;0;0
15;0,5433551;0,6901276;0;0
16;0,5712944;0,7743577;0;0
17;0,5682283;0,7742173;0;0
18;0,553149;0,7746041;0;0
19;0,6020895;0,7748948;0;0
20;0,5691373;0,7748166;0;0
21;0,6111896;0,7748673;0;0
22;0,6232825;0,7747435;0;0
23;0,6339772;0,7750145;0;0
24;0,6558651;0,7750227;0;0
25;0,656156;0,7747766;0;0
26;0,6838629;0,7837563;0;0
27;0,7115911;0,7838506;0;0
28;0,700919;0,7836328;0;0
29;0,7077535;0,7846603;0;0
30;0,674508;0,783748;0;0
31;0,6582748;0,7836808;0;0
32;0,7097385;0,8052341;0;0
33;0,7033788;0,8052331;0;0
34;0,693363;0,8051605;0;0
35;0,7410349;0,8048329;0;0
36;0,960095;19,17717;1;20,3875
37;2,788006;19,22326;9;20,124
38;13,63171;19,46675;56;18,8909
39;16,86352;19,44557;70;18,98871
40;18,26995;19,45667;76;18,93724
41;18,51033;19,45607;77;18,94005
