Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1472892;0,5926864;0;0
2;0,2221872;0,6948349;0;0
3;0,312196;0,6958811;0;0
4;0,3834756;1,005155;0;0
5;0,4680904;1,006714;0;0
6;0,5636175;1,007714;0;0
7;0,682314;1,00731;0;0
8;0,7562447;1,007221;0;0
9;0,8445256;1,00801;0;0
10;2,025114;19,16998;5;20,42954
11;4,545959;19,16601;16;20,45292
12;0,9753666;1,008083;0;0
13;0,9865841;1,008598;0;0
14;0,9586176;1,008964;0;0
15;2,096133;19,14873;5;20,55553
16;8,185158;19,15073;32;20,54356
17;1,427268;19,13723;2;20,62475
18;12,097;19,16183;49;20,47761
19;0,9516123;1,007931;0;0
20;0,9415634;1,006928;0;0
21;0,9565238;1,008034;0;0
22;1,201945;19,12822;1;20,6795
23;2,07244;19,15684;5;20,5072
24;6,847333;19,15068;26;20,54389
25;1,42048;19,14134;2;20,59993
26;1,376364;19,1431;2;20,58936
27;1,460108;19,15396;2;20,52433
28;10,24296;19,16306;41;20,47036
29;10,48545;19,15966;42;20,49042
30;12,08964;19,16402;49;20,46468
31;16,85924;19,17091;70;20,4241
32;15,00877;19,16185;62;20,47749
33;14,60617;19,15863;60;20,49654
34;0,9933146;1,008273;0;0
35;10,00071;19,14721;40;20,56465
36;6,430928;19,16435;24;20,46271
37;17,31815;19,16313;72;20,46994
38;17,04979;19,15554;71;20,51491
39;17,9819;19,1715;75;20,42067
;;;;
;;;;
Population;80;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;8;10%;;
