Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,3888763;19,58099;1;18,38988
2;8,736367;19,57607;33;18,41058
3;18,25063;19,58413;70;18,37673
4;17,94984;19,61193;69;18,26142
5;18,00584;19,60201;69;18,30231
6;17,74936;19,60801;68;18,27757
7;17,25544;19,59933;66;18,31341
8;17,26738;19,61604;66;18,24462
9;16,97103;19,60794;65;18,27782
10;18,26851;19,61497;70;18,24899
11;18,28059;19,61205;70;18,26094
12;19,04679;19,62101;73;18,22431
13;18,27266;19,60885;70;18,2741
14;18,27677;19,60763;70;18,27913
15;18,00702;19,61458;69;18,25057
16;18,78566;19,61542;72;18,24712
17;18,02316;19,62827;69;18,19477
18;17,50687;19,62081;67;18,22513
19;17,24728;19,60921;66;18,27262
20;17,50745;19,61744;67;18,23887
21;18,26909;19,6259;70;18,2044
22;17,7591;19,61866;68;18,2339
23;17,76695;19,6146;68;18,25051
24;18,54046;19,60585;71;18,28645
25;17,23723;19,61934;66;18,23113
26;18,28452;19,6164;70;18,24313
27;19,56292;19,61327;75;18,25594
28;18,78742;19,61869;72;18,23377
29;16,97436;19,61198;65;18,26122
30;18,80766;19,62238;72;18,21873
;;;;
Population;75;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;5;7%;;
